Примечание. Доставка в другие регионы настраивается в личном кабинете.";"Срок курьерской доставки товара по региону магазина.
Если поле не используется, срок доставки должен быть настроен в личном кабинете.";"Возможность самовывоза из пунктов выдачи. Если оставить поле пустым, будет считаться, что самовывоз есть.
Условия самовывоза в деталях (регионы, тарифы, сроки и т. п.) настраиваются в личном кабинете.";По региону магазина. Можно указать в этом поле или настроить в личном кабинете.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.
;;654679;"ИО 102-""Люкс""";;;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;260;390
;;655446;Светильник SL-60;1200;1600;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1075;1182
;;6554655;Знаки П/Б  Кнопка включения установок ( систем) пожарной автоматики(200х200;;;63;VAT_20;;15;;;Поставки будут;;;;;;;;;;;;40;49
;;734;Ипр 513-10;341;450;49;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;341;450
;;74123;iDo111 брелок;800;890;13;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;74269666;ARTOL-3P  551 (датчик);;;10;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;226;269
;;7465; Бп АТ-12/50;;;24;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1900;3447
;;776553;"ОПОП 1-8 220В ""Выход""";;;39;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;423;473
;;778999;"ИПР-И ""Стрелец-Интеграл""";2500;3100;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;785432;"БЗЛ-ВП ""АЯКС";600;1105;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;785634;"БЗК-8 ""Север""";;;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1427;1545
;;78816;Знаки П/Б  Звуковой оповещатель пожарной тревоги (200х200) ;;;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;40;54
;;7890;Сигнал-20М;12000;16000;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;12000;16000
;;789235;ARTOL KM-250-NO-NC с магнитом М-25;2847;3599;9;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2874;3599
;;78963;Знаки П/Б  Использование огнетушителя (210х300);;;114;VAT_20;;6;;;Поставки будут;;;;;;;;;;;;85;99
;;789654;Знаки П/Б  Курить здесь (200х200);;;95;VAT_20;;15;;;Поставки будут;;;;;;;;;;;;40;49
;;8520;Ир-1 ;299;359;0;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;;
;;852456;ARTOL-4P  551 (датчик);250;296;10;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;250;296
;;85486;TANTOS вызывная панель  iPanel 2 WG (Black);7036;12000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
Товар на проверке:Проверяем возможно ли размещение этого товара на Маркете (магазин 40215474). Обычно это занимает пару дней.;;86464;АС-10 (ООПЗ-12)  ;399;600;6;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;;
;;875421;Сетевой фильтр 5 гнезд 3м;500;850;11;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;500;850
;;876905;Газовый кран(перекрыватель) DN15A;619;800;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;799;1100
;;879065;Головка пож. ГР-50 А;;;6;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;316;475
;;8944;NICE SM2 пульт ;811;1200;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;894477069;ARTOL KM-250-NO с магнитом М-25;1910;2069;10;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1910;2069
;;8953;ИПДЛ-Д-II/4P ;7015;7999;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7015;7999
"Карточка не опубликована:Товар привязан к карточке, которая не может быть опубликована на Маркете. Дополните характеристики товара, перечисленные в ошибках, или обратитесь в поддержку, если других ошибок по товару нет.

Слишком маленькое значение:Минимальное значение для поля &laquo;Глубина&raquo;: 30.0.

Слишком маленькое значение:Минимальное значение для поля &laquo;Ширина&raquo;: 30.0.";;918273;Бокс кмпн 2/2 с прозрачной крышкой для 2-х авт.выкл.наружн.установки;119;126;0;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;;
;;9537344770;Infinity SR-2000EX;10251;12999;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;10251;12999
;;963214;Знаки П/Б  Категория помещения/Класс зоны помещения (100х200);35;43;170;VAT_20;;15;;;Поставки будут;;;;;;;;;;;;35;43
;;975468;ивэпр 12/1,2;;;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1600;2400
;;975864;Жесткий диск Seagate SATA-III 2TB  ST2000VX008 Video Skyhawk 5900RPM  64MB;7800;9000;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;8600;9100
;;97865;Гнездо вставка RJ-45 (Keystone Jack) CAT5e, Тип-1 (03-1011);;;95;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;221;332
;;986714;"МВ-И ""Стрелец""";3000;4500;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;98675;ИВЭПР 12/3,5  2х12 БР ;6424;7999;8;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6424;7999
;;987321;бзл-в-1 исп.01;620;672;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;987456;ИПР 513-3ПАМ ;;;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;821;899
;;987789;Жесткий диск WD 2ТБ Purple WD20PURZ;;;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;9100;13650
;;9946;Ипр-55;320;359;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;320;359
;;99566;Гром-12К;;;7;VAT_20;;;;;Поставки будут;;;;;;;;;;;;543;599
;;ABBIP4416А2Р;Вилка ABB IP44 16А 2Р+E 2СМА193002R1000    ;599;740;20;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;599;740
;;AL919hdb;Приемопередатчик видеосигнала AL-919HDB (комплект);260;415;1;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;260;415
;;ARTOL12;TANTOS TPs-12/1А ;440;900;14;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;;
;;ARTOLTAN;TANTOS TS-1.5A-U-Slim Lux;899;1500;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;ARTOLTAN22;TANTOS TS-EL2370SS замок;2145;3000;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;ATH805a;Кнопка выхода AT-H805A;374;539;8;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;374;539
;;AXPREMschituvatel;AXP-REM считыватель;2000;3700;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2000;3700
;;AcerK192HQLb;"Монитор 18.5"" Acer K192HQLb ";;;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5350;6873
;;Acs101r112r114rbrelki;ACS-101R, 112R, 114R (брелки)     ;899;1040;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;899;1040
;;Ajaxartol;Ajax CombiProtect белый;6620;8000;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;Неправильно указан вес товара:Вес товара не соответствует его габаритам — проверьте, правильно ли вы их указали;AlektrogirlyndaKomnAurrZanaves3x1m114Lamp;Электрогирлянда комнатная Auralight занавес 3х1 м 114 ламп;1386;2290;;VAT_20;;;;;;;;;;;;да;Есть;;Есть;;1386;2290
;;Astra1017;Астра-321 (ИО 101-7);600;640;41;VAT_20;;;;;Поставки будут;;;;;;;;;;;;390;640
;;Astra3321;Астра-3321;2999;4500;19;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2999;4500
;;Astra712/2;Астра-712/2 ;6651;8140;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6651;8140
;;Astra8231;Астра-8231;4793;6370;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4793;6370
;;AstraP;Астра-Р ;5999;6350;11;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3880;5370
;;Astraz2745;Астра-Z-2745 ;5531;7280;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5531;7280
;;Astraz4545;Астра-Z-4545 ;5734;7380;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5734;7380
;;Ath7426;ATH-7426 (white) Водонагреватель       ;2037;3690;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;2037;3690
;;Avd102;AVd102      ;917;1470;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;917;1470
;;BBP20Accordteс;ББП-20 Accordteс;1334;2100;21;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1334;2100
;;BBP20TSTantos;ББП-20 TS Tantos;1722;2800;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1722;2800
;;BBP30isp2;ББП-30 исп.2;3425;4800;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3425;4800
;;BBP40Accordtec;ББП-40 Accordteс;1806;2550;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1806;2550
;;BBP50TSTantos;ББП-50 TS Tantos;2683;4000;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2683;4000
;;BBP50isp1jelezKorpus;ББП-50 исп.1(железный корпус);2990;4100;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2990;4100
;;BBP50plasticKorpus;ББП-50  (пластиковый корпус);3199;5500;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3199;5500
;;BBP60AccordTec;ББП-60 Accordteс;2190;3300;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2283;3300
;;BBP60v8Accordteс;ББП-60 v.8 Accordteс;2632;3500;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2632;3500
;;BBPLiteAccordtec;ББП-20 Lite Accordteс ;1057;2000;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1057;2000
;;BBPisp1Accordteс;ББП-30 исп.1 Accordteс;2270;3500;14;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2386;3500
;;BNCRG59Paika(0530124);BNC RG-59 пайка (05-3012-4);19;44;32;VAT_20;;27;;;Поставки будут;;;;;;;;;;;;19;44
;;BNCRG6Nakrutka053023;BNC RG-6 накрутка (05-3023);36;55;55;VAT_20;;15;;;Поставки будут;;;;;;;;;;;;36;55
;;BNCRGobjim0530024;BNC RG-59 обжим (05-3002-4);40;77;36;VAT_20;;13;;;Поставки будут;;;;;;;;;;;;40;77
;;BRO4GSMStruna5;БРО-4-GSM Струна-5;12999;17990;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;12999;17990
;;BRO5GSM;Бро-5 GSM ;13461;20999;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;13461;20999
;;BRO5GSMPLUS;Бро-5 GSM+;17351;25700;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;17351;25700
;;BSL240IStrelecIntegral;"БСЛ240-И  ""Стрелец-Интеграл""";5600;11000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5600;11000
;;BUKRStrelec;"БУК-Р ""Стрелец""";6950;12300;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6950;12300
;;BUROBUAIRBallon300ml;BURO BU-AIR баллон со сжатым воздухом 300 мл;325;799;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;450;799
;;Bagorpojarn;Багор пожарный;500;750;7;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;268;425
;;Batareikaalkalinovaialexmanlr6aa4ht;Батарейка алкалиновая Lexman LR6 AA 4 шт.																;162;217;1;VAT_20;;4;;;;;;;;;;да;Есть;;Есть;;162;217
;;Batareikiaaa10ht;Батарейка алкалиновая ААА, 10 шт.;215;360;1;VAT_20;;3;;;;;;;;;;да;;;;;215;360
;;Bn1c;Брелок БН-1-С;599;750;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;599;750
;;Bncrg59nakrytka0530224;BNC RG-59 накрутка (05-3022-4)       ;507;680;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;507;680
;;Boldrgg0411sniat;BOLID RGG-0411 снят        ;4531;6115;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;4531;6115
