Примечание. Доставка в другие регионы настраивается в личном кабинете.";"Срок курьерской доставки товара по региону магазина.
Если поле не используется, срок доставки должен быть настроен в личном кабинете.";"Возможность самовывоза из пунктов выдачи. Если оставить поле пустым, будет считаться, что самовывоз есть.
Условия самовывоза в деталях (регионы, тарифы, сроки и т. п.) настраиваются в личном кабинете.";По региону магазина. Можно указать в этом поле или настроить в личном кабинете.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.
;"Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/5753914/pic2aca752bd4423b3d15b2bd853268f534/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.";KPSngFRLS1x2x05Buhta200m;КПСнг(А)-FRLS 1x2x0,5 (бухта 200м);504;600;;VAT_20;;21;;;Поставки будут;;;;;;;да;Есть;;Есть;;504;600
;;KRTP10;КРТп-10 ;300;450;20;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;300;450
;;KTM-Hk;КТМ-Нк ;499;650;28;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;499;650
;;KabelC2000kPrinteru;Кабель С2000 к принтеру;197;400;1;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;300;400
;;KabelDlySvyziUSB2;Кабель для связи USB 2;1760;2590;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1760;2590
;;KabelHDMIHDMI3m;Кабель HDMI-HDMI 3м;1019;2150;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1019;2150
;;KabelHDMIHDMI5m;Кабель HDMI-HDMI 5м;1300;2220;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1300;2220
;;KabelerezAlektrika180mm;"Кабелерез ""Электрика"" 180мм (12-4654)";599;1110;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;599;1110
;;KabelnuiMarkerKlipsa;Кабельный маркер (клипса) D 4...6 мм, блистер;300;559;2;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;300;559
;;KabinetPstrelec;"Кабинет-Р ""Стрелец""";13122;20990;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;13122;20990
;;KartaPW02(1.6mm);Карта PW-02 (1,6mm);20;44;141;VAT_20;;25;;;Поставки будут;;;;;;;;;;;;20;44
;;KartaPW06(0.8mm);Карта PW-06 (0,8мм) ;39;65;747;VAT_20;;13;;;Поставки будут;;;;;;;;;;;;39;65
;;KartaSRID10;Карта SR-ID10;15;29;0;VAT_20;;33;;;Поставки будут;;;;;;;;;;;;15;29
;;Kc2korobkasoed2par;КС-2  Коробка соединительная 2 пары клемм;24;39;100;VAT_20;;21;;;Поставки будут;;;;;;;;;;;;24;39
;;Kc4;КС-4;32;47;127;VAT_20;;16;;;Поставки будут;;;;;;;;;;;;32;47
;;Kc4m;КС-4М;32;49;5;VAT_20;;16;;;Поставки будут;;;;;;;;;;;;32;49
;;Kc5;КС-5;44;59;16;VAT_20;;12;;;Поставки будут;;;;;;;;;;;;44;59
;;Kccvvngals405;КСВВнг(А)-LS 4x0,5мм;506;600;;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;506;600
;;Kcpv1005;КСПВ 10х0,5;510;600;400;VAT_20;;30;;;Поставки будут;;;;;;;да;Есть;;Есть;;510;600
;;Kcpv2004;КСПВ 20х0,4;527;600;60;VAT_20;;17;;;Поставки будут;;;;;;;да;Есть;;Есть;;527;600
;;Kcpv205; КСПВ 2х0.5;504;600;;VAT_20;;72;;;Поставки будут;;;;;;;да;Есть;;Есть;;504;600
;;Kkcp205mmbyxta100m;ККСП + 2х0.5мм (бухта 100м) черный( внешний) ;500;600;10;VAT_20;;25;;;Поставки будут;;;;;;;да;Есть;;Есть;;500;600
;;Kleshiplitkorez;Клещи-плиткорез Dexter 200 мм;330;482;1;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;330;482
;;Kliyshnizak0110010040;Ключница К-01 (красная) (100х100х40);536;970;3;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;700;970
;;Kliyshrw1990/2;Ключ RW1990/2       ;30;47;;VAT_20;;17;;;Поставки будут;;;;;;;;;;;;30;47
;;Knopkaexitkashernaia;Кнопка выхода EXITка (черная);320;495;5;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;320;495
;;Knsispaio1011a;КНС исп.А (ИО 101-1(А);454;613;26;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;454;613
;;Kolizokv125;Кольцо уплотнительное КВ-125;180;220;0;VAT_20;;10;;;Поставки будут;;;;;;;;;;;;180;220
;;Kolpashokrj45itkcs411;Колпачок изолирующий для разъема RJ-45 ITK CS4-11 ;15;21;50;VAT_20;;34;;;Поставки будут;;;;;;;;;;;;15;21
;;KomplektHiwatch1;"""Комплект видеонаблюдения HiWatch № 1""";28848;34210;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;28848;34210
;;KomplektvideoHiWatch2;"""Комплект видеонаблюдения HiWatch № 2""";31929;37450;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;31929;37450
;;Kompproxodrg458p8c030101;Компьютерный проходник RG-45(8P-8C) cat 5e (гнездо-гнездо) (03-0101) ;44;63;0;VAT_20;;12;;;Поставки будут;;;;;;;да;Есть;;Есть;;44;63
;;Konteinerdliazahfeniks;Контейнер для защитных капюшонов Феникс ;6999;8670;1;VAT_20;;1;;;Поставки будут;;;;;;;да;Есть;;Есть;;6999;8670
;;Korob10060pvxyp12m;Короб (СВ) 100 х60  ПВХ ( упаковка 12м) ;2638;3910;18;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2638;3910
;;Korob1616yp140;Короб 16х16  ПВХ (упаковка 140м)   ;1176;1950;48;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1176;1950
;;Korob2010pvx100m;Короб (DeGross) 20 х10  ПВХ (упаковка 100м)  ;1260;2999;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1260;2999
;;Korob4016pvxyp48;Короб 40х16  ПВХ  (упаковка 48м)  ( продается палками по 2м);1008;2150;216;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1008;2150
;;Korob4025pvx40m;Короб (СВ) 40 х25  ПВХ ( упаковка 40м)   ;2128;2970;296;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2128;2970
;;Korob4040pvxyp30;Короб (СВ) 40 х40  ПВХ ( упаковка 30м);2016;3167;60;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2016;3167
;;Korob4040yp24m;Короб 40х40  ПВХ (упаковка 24м) ( продается палками по 2м));739;1030;6;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;739;1030
;;Korob6040pvxyp18m;Короб (СВ) 60 х40  ПВХ ( упаковка 18м) ;1714;2090;24;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1714;2090
;;Korobcv1510pvxyp140;Короб (СВ) 15 х10  ПВХ ( упаковка 140м);1568;2080;;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1568;2080
;;Korobdegross1510pvx140m;Короб (DeGross) 15 х10  ПВХ (упаковка 140м)  ;1372;2845;26;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1372;2845
;;Korobka10010050;Коробка распаячная 100x100x50;133;247;46;VAT_20;;6;;;Поставки будут;;;;;;;;;;;;133;247
;;Korobka12010367;"Коробка глухая УСБ ""Север"" 120х103х67";639;800;2;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;639;800
;;Korobka6440;Коробка установочная 64х40 с саморезами;11;26;8;VAT_20;Да;46;;;Поставки будут;;;;;;;;;;;;11;26
;;Korobka6460;Коробка установочная 64х60 с саморезами;13;29;0;VAT_20;;39;;;Поставки будут;;;;;;;;;;;;13;29
;;Korobka808040;Коробка распаячная 80х80x40    ;79;103;167;VAT_20;;7;;;Поставки будут;;;;;;;;;;;;79;103
;;Korobkaip671958075;Коробка пластиковая IP67 195х80х75;855;1037;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;855;1037
;;Korobkatysod70h40;"Коробка ""Тусо"" расп. с/п D=70, H=40 (У-197) (28-3101)     ";12;29;0;VAT_20;;42;;;Поставки будут;;;;;;;;;;;;12;29
;;Korobkatysoraspd100h40;"Коробка ""Тусо"" расп. с/п D=100, H=40 (У-198) (28-3100)     ";18;34;0;VAT_20;;28;;;Поставки будут;;;;;;;;;;;;18;34
;;Korobspaceokub;Короб Spaceo KUB 31х31х31 см 29.7 л спанбонд, черный																;324;479;1;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;324;479
;;Korobtplast1510pvx;Короб (T-plast) 15 х10  ПВХ ( упаковка 200м)  ;1764;3027;6;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1764;3027
;;Korobtplast2010pvx160m;Короб (T-plast) 20 х10  ПВХ ( упаковка 160м)  ;1882;2740;42;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1882;2740
;;Korpys009303010;Корпус 009 (монтажный металлический 30х30х10)    ;1399;2950;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1399;2950
;;Korpysarmstrong;Корпус Армстронг встраиваемый/накладной (595х595х40)    ;300;457;0;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;300;457
;;Korynd1im;Корунд 1ИM ;6520;8130;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;6520;8130
;;Kpcengafrls1205byxta200mpylis;КПСЭнг(А)-FRLS 1x2x0,5 (бухта 200м) Пульс ;506;600;397;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;506;600
;;Kpcngafrls12075byxta200mpylis;КПСЭнг(А)-FRLS 1x2x0,75 (бухта 200м) Пульс ;500;600;400;VAT_20;;20;;;Поставки будут;;;;;;;да;Есть;;Есть;;500;600
;;Kpcngafrls1275byxta200mrexant;КПСЭнг(А)-FRLS 1x2x0,75 (бухта 200м) Rexant ;500;600;400;VAT_20;;25;;;Поставки будут;;;;;;;да;Есть;;Есть;;500;600
;;Kpsngafrls12075200;КПСЭНг (А)-FRLS 1x2x0,75мм² ;510;600;;VAT_20;;15;;;Поставки будут;;;;;;;да;Есть;;Есть;;510;600
;;Kpsngafrls2205byxta200mpylis;КПСнг(А)-FRLS 2x2x0,5 (бухта 200м) Пульс ;533;600;0;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;533;600
;;Kpsngafrls22075byxta200mpylis;КПСнг(А)-FRLS 2x2x0,75 (бухта 200м) Пульс ;530;600;400;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;530;600
;;Kpsngafrls2215byxta200msi;КПСнг(А)-FRLS 2x2x1,5 (бухта 200м) Si ;540;600;130;VAT_20;;9;;;Поставки будут;;;;;;;да;Есть;;Есть;;540;600
;;KraskoraspulitelSverhnimBachkom05L;Краскораспылитель с верхним бачком 0.5л																;1136;2000;;VAT_20;;;;;;;;;;;;да;;;;;1136;2000
;;Krepejkabeliakrugl1250;Крепеж кабеля круглый 12мм (упак 50шт) ;36;51;5;VAT_20;;14;;;Поставки будут;;;;;;;;;;;;36;51
;;Krepejkabeliakrygl950;Крепеж кабеля круглый 9мм (упак 50шт);55;73;0;VAT_20;;10;;;Поставки будут;;;;;;;;;;;;55;73
;;Krepleniastiajki2216;Площадка для крепления стяжки 22,2  х 16 мм (упак 100шт) черная;520;694;6;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;520;694
;;Kreplenieh3;Крепление Н-3 металлич. под ручку огнетушителя ;22;37;0;VAT_20;;23;;;Поставки будут;;;;;;;;;;;;22;37
;;Krepleniet3oy3op4srezinkoi;Крепление Т-3 для ОУ-3, ОП-4 с резинкой ;300;470;6;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;300;470
;;Krepleniet4dliaoy3op4;Крепление Т-4 для ОУ-3, ОП-4 ;399;470;1;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;399;470
;;Kreplenietv4;Крепление ТВ-4 (с мет. защелкой для ОП-4  d-140);299;495;8;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;299;495
;;Kreplenietv8;Крепление ТВ-8 транспортн. (с мет. защелкой для ОП-8, d-160) ;400;580;4;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;400;580
;;Krimperdliaobjima8p8c6p4c;Кримпер для обжима 8P8C / 6P4C (HT-500R) (TL-500R) (12-3434) ;2400;3900;3;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2400;3900
;;Kristal12V;"Кристалл-12В ""Запасный выход""  ";260;410;15;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;260;410
;;Kronhteinkastre5;Кронштейн к Астре-5 (поворотный) ;50;79;64;VAT_20;;10;;;Поставки будут;;;;;;;;;;;;50;79
;;Kronhteinkastre5harik;Кронштейн к Астре-5 (шариковый) ;60;97;3;VAT_20;;9;;;Поставки будут;;;;;;;;;;;;60;97
;;KvarcVar1;Кварц (вар.1);3426;5500;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3426;5500
;;Kvckseverpl8pc914t31ip55;"КВСК Север"" ПЛ.8.ПС.9-14.Т31 IP55 ";2999;4830;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2999;4830
;;Kvkp2075byxta200moptimus;КВК-П 2х0,75 черный (бухта 200м) (внешний) Optimus ;525;600;32;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;525;600
;;Kwi2000lkomplektinterkomadliasviazi;KWI-2000L - комплект интеркома для связи   ;2321;3999;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;2321;3999
;;LUX24DVuhod;"ЛЮКС-24 Д ""Выход""";800;1650;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;800;1650
;;Lcdaoc21.52;Монитор LCD AOC 21.52 E227OSWN;8790;10350;0;VAT_20;;;;;;;;;;;;;;;;;8790;10350
;;Liderradiosistema;ЛИДЕР Радиосистема тревожной сигнализации ;3400;4900;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3400;4900
;;Lobzikhfjso6v55400;Лобзик HF-JS06B-55, 400 Вт;910;1870;0;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;910;1870
;;Lompojarn;Лом пожарный ;240;390;5;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;240;390
;;Lopatapojsovkov;Лопата пожарная совковая;399;570;6;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;399;570
;;Lux24CHGazuhogi;"Люкс-24 CH ""Газ уходи""";400;850;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;400;850
;Некорректное значение в одном из полей:В поле «Длина в упаковке в сантиметрах» вы указали значение 6 — оно некорректно. Значение для категории «Микрофоны» должно быть в диапазоне 8 – 80.;M30mikrofon;М-30 микрофон;1368;2100;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1368;2100
;Некорректное значение в одном из полей:В поле «Длина в упаковке в сантиметрах» вы указали значение 5 — оно некорректно. Значение для категории «Микрофоны» должно быть в диапазоне 8 – 80.;M40mikrofon;М-40 микрофон;1782;3000;12;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2045;3000
;Некорректное значение в одном из полей:В поле «Длина в упаковке в сантиметрах» вы указали значение 6 — оно некорректно. Значение для категории «Микрофоны» должно быть в диапазоне 8 – 80.;M50mikrofon;М-50 микрофон;2961;4700;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3290;4700
;;MP24/12;МП 24/12 В исп.01 ;1060;2538;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1060;2538
;;MP24/5;Мп 24/5;630;784;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;630;784
;;MPP2,7;МПП(Н)-2,7-И-ГЭ-У2 (Тунгус-2,7);3850;5460;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3850;5460
;;MaskaSvarshikaHameleonF5;Маска сварщика хамелеон Ф5;1253;2100;;VAT_20;;;;;;;;;;;;да;;;;;1253;2100
;;MatrixIIK;Matrix-II K (мод.ЕК) ;3250;4800;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3250;4800
;;Mayk123M;Маяк-12-ЗМ;300;650;28;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;300;650
;;MicroshemC2000versii12x;Микросхемы С 2000 версии 1.2х;1856;3200;10;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3800;6999
;;Mifareidairtagstandartbrelok;MIFARE ID AIRTAG Standart брелок   ;510;699;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;510;699
;;Mkvideo;"Коробка монтажная ""МК+Видео""";240;395;80;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;240;395
;;Ml180ksygolkomgrey;ML-180K с уголком (серый)    ;2775;4199;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;2775;4119
;;Modyli5684;МПн;71;223;8;VAT_20;;8;;;Поставки будут;;;;;;;;;;;;120;223
;;Moiiusk12\5;Моллюск 12/5;3090;4100;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3090;4100
;;Moiniy123OSNOVA;Молния-12-З ОСНОВА;713;1500;7;VAT_20;;;;;Поставки будут;;;;;;;;;;;;713;1500
;;Moiniy12ULTRAvuhod;"Молния-12 ULTRA ""Выход""";3263;5000;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3263;5000
;;Moiniy12VOSNOVA;Молния-12В ОСНОВА;315;600;81;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;315;600
;;Moiniy243OSNOVA;Молния-24-З ОСНОВА;315;600;8;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;315;600
;;Moiniy24Vvuhod;"Молния-24В ""Выход"" ";315;600;104;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;315;600
;;MoiniyNadpisAvtomatOtkluch;"Молния-НАДПИСЬ ""Автоматика отключена""";100;300;53;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;300
;;Mollusk121.5;Моллюск 12/1,5;1150;2000;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1150;2000
;;Mollusk12\3;Моллюск 12/3;2050;2750;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2050;2750
;;MolmiyNadpPoroshokUhodi;"Молния-НАДПИСЬ ""Порошок! Уходи!""";100;350;33;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;350
;;Molniy12BPoroshokNeVhody;"Молния-12В ""Порошок не входи""";315;600;21;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;315;600
;;Molniy12VPojar;"Молния-12В ""Пожар""";315;600;1;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;315;600
;;Molniy12Vvuhod;"Молния-12В ""Выход""  ";315;600;161;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;315;600
;;Molniy220RIPVuhod;"Молния-220 РИП ""Выход""";1453;2200;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1453;2200
;;Molniy220VVuhod;"Молния-220В ""Выход""  ";531;1050;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;531;1050
;;Molniy24VGazNeVhodi;"Молния-24В ""Газ не входи"" ";315;600;1;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;315;600
;;Molniy24VGazUhodi;"Молния-24В ""Газ уходи""";315;600;1;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;315;600
;;Molniy24VOsnova;Молния-24В ОСНОВА;315;600;73;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;315;600
;;Molniy2x12BKronshtein;Молния-2x12В, Кронштейн;422;900;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;422;900
;;MolniyNadpGAZNEVHODI;"Молния-НАДПИСЬ ""Газ! не входи!""";100;300;71;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;300
;;MolniyNadpGAZUHODI;"Молния-НАДПИСЬ ""Газ! уходи!""";100;350;61;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;350
;;MolniyNadpNeVhodit;"Молния-НАДПИСЬ ""Не входить!""";100;300;13;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;300
;;MolniyNadpPOJAR;"Молния-НАДПИСЬ ""Пожар""";100;300;9;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;300
;;MolniyNadpPoroshokNevhodi;"Молния-НАДПИСЬ ""Порошок! Не входи!""";100;300;41;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;300
;;MolniyNadpStrelkaVlevo;"Молния-НАДПИСЬ ""Стрелка влево""";100;300;28;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;300
;;MolniyNadpVUHOD;"Молния-НАДПИСЬ ""Выход""";100;350;90;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;350
;;MolniyNadpZapasnoiVuhod;"Молния-НАДПИСЬ ""Запасный выход""";100;350;38;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;100;350
;;MolotokShlakootboinuiFoxweld;Молоток шлакоотбойный Foxweld																;428;770;;VAT_20;;;;;;;;;;;;да;;;;;428;770
;;Msioptixg27127;MSI Optix G271 27   ;31000;34999;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;31000;34999
;;NV8516;Nv  8516    ;2000;3780;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;2000;3780
;;NaborElochnSharov6smKrasn/Zolot40sht;Набор ёлочных шаров 6 см цвет красный/золотой, 40 шт;966;1780;0;VAT_20;;;;;;;;;;;;да;Есть;;Есть;;966;1780
"Изображение не по правилам:Изображение по <a href=//avatars.mds.yandex.net/get-marketpic/8486498/pic27fe692af873ec8c5ff117eca438a335/orig target=""_blank"">ссылке</a> не соответствует <a href='https://yandex.ru/support/marketplace/assortment/fields/index.html' target=""_blank"">правилам Маркета</a>. Оно неправильного размера. Исправьте ошибку и сохраните изменения.";;NaborElochnuhSharFlokirovannuh8smBelui;Набор ёлочных шаров флокированных 8 см цвет белый, 12 шт;826;1790;1;VAT_20;;;;;;;;;;;;да;Есть;;Есть;;826;1790
;;NaborNasadokDlyGravera;Набор насадок для гравера																;636;1110;0;VAT_20;;;;;;;;;;;;да;Есть;;Есть;;636;1110
;;Nabordexterhex15109;Набор ключей Dexter шестигранники Hex 1.5-10 мм 9шт.																		;583;745;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;583;745
;;Naborklhex15109;Набор ключей шестигранников Hex 1.5-10 мм 9шт.																;203;367;1;VAT_20;;3;;;;;;;;;;да;Есть;;Есть;;203;367
"Цена в магазине сильно изменилась:Товар помещён в&nbsp;Карантин (https://yandex.ru/support/marketplace/assortment/operations/prices.html#quarantine). Проверьте и&nbsp;актуализируйте цены или подтвердите, что новая указана правильно. После этого товар вернётся на&nbsp;витрину.

Старая цена: 1029 
Новая цена: 99 
Изменение: x10,39";;Nakleikanapropysk;Наклейка на карту пропуск;99;350;80;VAT_20;;6;;;Поставки будут;;;;;;;;;;;;99;350
;;Nakoneshnik575;Наконечник штыревой двойной изолированный НШвИ(2) 2,5-8;93;254;200;VAT_20;;6;;;Поставки будут;;;;;;;;;;;;93;254
;;Nasos208;Насос центробежный (мотопомпа) PTG 208 ST;34800;39420;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;34800;39420
;;NastolLampaInspireBuro1E27x40vtBelui;Настольная лампа Inspire Buro 1 лампа Е27х40 Вт, цвет белый		;598;1090;;VAT_20;;;;;;;;;;;;да;Есть;;Есть;;598;1090
;;NaushnikiProtivoshumnueKrafter4/26dB;Наушники противошумные Krafter 4, 26 дБ																;504;890;1;VAT_20;;;;;;;;;;;;да;Есть;;Есть;;504;890
;;Nicef210komplektfotolementov;NICE F210, комплект фотоэлементов    ;5324;6999;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;5324;6999
;;Noj565;Нож с трапециевидным выдвижным лезвием Rexant;218;364;2;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;218;364
;;Np4N;"БР4-И исп.1 ""Стрелец-Интеграл"" ";5950;7560;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5950;7560
;;Ntgb09ghinazazemleniiamednaia19;"""NT GB-09 G шина заземления медная 19"""", горизонтальная""";2254;3799;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;2254;3799
;;OOOPz-24;АС-1 (ООПЗ-24)  ;230;380;6;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;230;380
;;Obezjirivateliynevers1l;Обезжириватель 1л;215;369;1;VAT_20;;3;;;;;;;;;;да;Есть;;Есть;;215;369
;;OchistitelMontajPenuOppaCleaner05L;Очиститель монтажной пены Oppa Cleaner 0.5л																;254;445;;VAT_20;;2;;;;;;;;;;да;;;;;254;445
;;Opc12;"ОРС-12 ""Раскат-М""";4184;5632;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4184;5632
;;Opop1247;ОПОП 124-7 ;628;1054;13;VAT_20;;;;;Поставки будут;;;;;;;;;;;;628;1054
;;Opop18;"ОПОП 1-8 12В ""Выход"" ";440;977;0;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;440;977
;;Oppo235;ОПОп 2-35 ;582;931;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;582;931
;;Optexrx40qzikdathikpasivn;Optex RX-40 QZ ИК-датчик, пассивный   ;624;799;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;624;799
;;Optimusem180;Optimus EM-180    ;1471;2999;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;1471;2999
;;Optimusumg11816p;Optimus UMG1-18/16P     ;18900;22350;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;18900;22350
;;Otvertki28;Набор отверток 28 предметов ;593;912;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;659;812
;;P10;П-10 подставка ;450;987;2;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;450;987
;;P15;П-15 подставка ;556;1027;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;556;1027
;;PDA3-45N100;Рамка-суппорт PDA3-45N 100     ;299;469;7;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;299;469
;;PRAXIS006;Praxis PP-2011L (2,8-12) ;4559;4799;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;PSIStrelecIntegral;"ПС-И ""Стрелец Интеграл""";9999;17890;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;9999;17890
;;Papb68;"ПА-ПБ-68 ""дуга"" парковочный барьер";1700;2430;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1700;2430
;Неправильно указан вес товара:Вес товара не соответствует его габаритам — проверьте, правильно ли вы их указали;ParoizolyciyB70mRulon;Пароизоляция В, 70 м рулон;1342;2390;1;VAT_20;;;;;;;;;;;;да;Есть;;Есть;;1342;2390
;;PastaGOIdlyPlastika;Паста ГОИ для пластика																;98;171;0;VAT_20;;5;;;;;;;;;;да;Есть;;Есть;;98;171
;;Patshkord18;Патч-корд BNC 18м;550;1089;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;550;1089
;;Patshkord20;Патч-корд BNC 20м;750;1268;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;750;1268
;;Patshkord60;Патч-корд BNC 60м;1500;2376;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1500;2376
;;Patshkordgrey05;Патч-корд UTP 5e кат. литой 0,5М СЕРЫЙ ;42;57;0;VAT_20;;12;;;Поставки будут;;;;;;;;;;;;42;57
